name;age;sex;marital-status;occupation;coord
Virginia Greene;19;Female;Married-AF-spouse;Adm-clerical;50.44152::3.94439
Victor Tran;48;Male;Married-civ-spouse;Prof-specialty;51.17529::5.13386
Christopher Hunter;31;Male;Married-civ-spouse;Machine-op-inspct;51.14142::2.69912
Steven Rodriguez;53;Male;Married-civ-spouse;Prof-specialty;50.88767::5.43153
Benjamin Thompson;24;Male;Married-civ-spouse;Tech-support;51.01862::3.65099
Vicki Williamson;49;Female;Separated;Adm-clerical;51.24197::5.17211
Michael Peterson;25;Male;Never-married;Handlers-cleaners;50.66845::6.10177
Eric Adams;57;Male;Married-civ-spouse;Prof-specialty;51.32134::4.94497
Jeffrey Donaldson;53;Male;Married-civ-spouse;Machine-op-inspct;51.07320::2.67913
Suzanne Johnson MD;44;Female;Divorced;Exec-managerial;51.20408::3.25657
Christopher Richardson;41;Male;Married-civ-spouse;Craft-repair;51.17446::4.44283
Dylan Carter;29;Male;Never-married;Prof-specialty;50.33846::4.66828
Ashley Torres;25;Female;Married-civ-spouse;Exec-managerial;51.18126::2.81497
Jennifer Villa;47;Female;Married-civ-spouse;Prof-specialty;51.10214::3.97289
Mark Avery;50;Male;Divorced;Exec-managerial;51.07583::4.28591
Jacob Hall;47;Male;Divorced;Exec-managerial;50.74483::3.49783
Paul Hendricks;43;Male;Married-civ-spouse;Tech-support;51.31756::4.56105
Brian Brown;46;Male;Married-civ-spouse;Machine-op-inspct;50.94953::2.72224
Edward Brown;35;Male;Married-civ-spouse;Other-service;50.92835::3.11744
Keith Johnson;41;Male;Married-civ-spouse;Adm-clerical;51.01004::4.05956
Jose Morgan;30;Male;Married-civ-spouse;Machine-op-inspct;50.47861::4.87112
Joseph Murray;30;Male;Married-civ-spouse;Sales;51.05978::5.73213
Brian Harrell PhD;48;Male;Married-civ-spouse;Transport-moving;51.04353::5.14911
Kenneth Proctor;42;Male;Married-civ-spouse;Prof-specialty;50.35027::5.45672
David Ross;29;Male;Divorced;Tech-support;50.46888::4.57884
Jason Clarke;36;Male;Married-civ-spouse;Craft-repair;50.88496::4.69727
Patty Houston;28;Female;Divorced;Adm-clerical;50.93265::5.32519
Jennifer Robinson;53;Female;Married-civ-spouse;Adm-clerical;50.61941::5.61042
Lucas Velazquez;49;Male;Married-civ-spouse;Exec-managerial;49.91622::5.37429
Donald Simpson;19;Male;Never-married;Prof-specialty;51.07834::3.71566
Stephanie Hood;31;Female;Separated;Sales;50.83434::4.32724
Jose Brown;29;Male;Married-civ-spouse;Sales;51.20548::4.45192
Nicholas Johnson;23;Male;Never-married;Machine-op-inspct;51.01020::5.49411
David King;79;Male;Married-civ-spouse;Prof-specialty;50.84219::4.33040
Andrew Wade;27;Male;Never-married;Other-service;50.53093::5.83251
William Pearson;40;Male;Married-civ-spouse;Adm-clerical;50.44869::3.94439
Elizabeth Mccoy;18;Female;Never-married;Other-service;51.27954::5.47104
Patrick Sherman;31;Male;Married-civ-spouse;Farming-fishing;49.65129::5.65573
Christopher Webb;18;Male;Never-married;Sales;51.05376::5.60667
David Park;52;Male;Married-civ-spouse;Other-service;51.18416::2.80656
Renee Greene;46;Female;Married-civ-spouse;Other-service;50.81265::4.32230
Robert Combs;59;Male;Married-civ-spouse;Sales;51.25480::4.43313
Kimberly Torres;44;Female;Divorced;Craft-repair;50.60647::5.36615
Sheila Snyder;53;Female;Divorced;Sales;50.72795::5.69383
Richard Larson;49;Male;Married-civ-spouse;Protective-serv;50.83250::4.36885
Johnathan Smith;33;Male;Married-civ-spouse;Prof-specialty;50.94499::5.68134
David Reed;30;Male;Never-married;Sales;51.03287::3.80193
Wendy Boyd;43;Female;Never-married;Prof-specialty;50.92013::4.08283
Jamie Morris;57;Male;Married-civ-spouse;Prof-specialty;50.94677::4.97788
Erin Nielsen;37;Female;Divorced;Craft-repair;50.80621::4.28537
Lisa Roberts;28;Female;Divorced;Machine-op-inspct;50.71789::6.01148
Anthony Stuart;34;Male;Married-civ-spouse;Protective-serv;49.56737::5.83390
Jesus Jones;29;Male;Never-married;Handlers-cleaners;51.23283::3.24486
John Hardy;48;Male;Married-civ-spouse;Prof-specialty;50.67927::5.54511
Robert Miller;37;Male;Married-civ-spouse;Sales;50.29446::4.48650
April Deleon;48;Female;Divorced;Exec-managerial;51.22016::4.47929
Shaun Quinn;32;Male;Never-married;Other-service;50.84543::4.27503
Ryan Wise;76;Male;Married-civ-spouse;Exec-managerial;50.88189::4.68763
Todd Clark;44;Male;Married-civ-spouse;Exec-managerial;50.33342::4.48292
Nicole Osborn;47;Female;Never-married;Prof-specialty;50.34577::4.26127
Miranda Mueller;20;Female;Never-married;Tech-support;51.08776::3.44792
Eric Coffey;29;Male;Never-married;Craft-repair;50.97981::3.56259
Kenneth Duke;32;Male;Married-civ-spouse;Craft-repair;50.43057::6.13180
Barry Soto;30;Male;Never-married;Handlers-cleaners;50.28733::5.08525
Julia Davis;31;Female;Never-married;Adm-clerical;50.45614::4.49583
Matthew Tucker;42;Male;Married-civ-spouse;Handlers-cleaners;50.61467::5.57970
Travis Sanchez;24;Male;Never-married;Sales;51.19929::3.24794
Derek Reyes;38;Male;Married-civ-spouse;Prof-specialty;50.75185::4.60886
Frank Johns;56;Male;Married-civ-spouse;Other-service;50.83932::4.02929
Katherine Hanna;28;Female;Married-civ-spouse;Sales;50.69388::5.24729
Kaylee Schmidt;36;Female;Never-married;Machine-op-inspct;50.49661::4.11176
Alan Acosta;53;Male;Married-civ-spouse;Handlers-cleaners;51.19815::4.39452
Darren Smith;56;Male;Married-civ-spouse;Sales;50.97354::5.44371
Peter Gutierrez;49;Male;Married-civ-spouse;Craft-repair;50.39190::4.47619
Aaron Jackson;55;Male;Married-civ-spouse;Sales;50.94236::5.16594
Michael Simon;22;Male;Never-married;Craft-repair;50.33802::5.50765
Christy Jones;21;Female;Never-married;Other-service;51.05603::4.35783
Matthew Clarke;40;Male;Married-civ-spouse;Exec-managerial;50.47296::4.86603
Timothy Miller;30;Male;Never-married;Exec-managerial;51.02893::4.09979
Jon Edwards;29;Male;Married-civ-spouse;Prof-specialty;51.32552::4.42022
Cameron Woods;19;Male;Never-married;Other-service;50.73603::4.23295
Anna Hughes;47;Female;Married-civ-spouse;Exec-managerial;51.03558::3.71803
Leslie Buchanan;20;Female;Never-married;Adm-clerical;50.86227::3.61622
John Livingston;31;Male;Married-civ-spouse;Adm-clerical;50.71328::4.21781
Scott Chen;39;Male;Divorced;Craft-repair;50.98562::3.65007
Cynthia Ingram;28;Female;Never-married;Sales;50.99769::4.30091
Angel Melton;24;Female;Never-married;Other-service;50.91889::4.19603
Donald Higgins;38;Male;Married-civ-spouse;Craft-repair;50.83027::4.37196
Chad Alexander;37;Male;Married-civ-spouse;Sales;50.99934::3.65709
Ashley Booth;46;Female;Divorced;Tech-support;50.77893::5.46780
Joshua Vaughn;38;Male;Married-civ-spouse;Prof-specialty;51.01304::4.35683
Robert Alexander;43;Male;Married-civ-spouse;Craft-repair;51.20144::5.56153
Veronica Bell;27;Female;Married-civ-spouse;Adm-clerical;51.25506::4.42194
David Fox;20;Male;Never-married;Sales;51.33905::4.40406
Wesley Cook;49;Male;Married-civ-spouse;Craft-repair;50.92148::4.15597
Jeffrey Mclean;61;Male;Married-civ-spouse;Craft-repair;51.02320::5.40477
Kristine Curry;27;Female;Never-married;Sales;51.20846::4.42937
Michael Williams;19;Male;Never-married;Other-service;50.97632::2.93242
Frances Smith;45;Female;Never-married;Prof-specialty;50.85115::4.39518
Scott Martin;70;Male;Never-married;Tech-support;50.82081::4.37684
Michelle Hester;31;Female;Never-married;Transport-moving;50.81737::4.39227
Johnny Christensen;22;Male;Married-civ-spouse;Other-service;50.97229::4.62044
Bethany Parsons;36;Female;Widowed;Other-service;50.93409::5.42927
Anthony Williams;64;Male;Married-civ-spouse;Craft-repair;50.81375::4.33921
Elaine Hardin;47;Female;Divorced;Adm-clerical;51.09672::5.50235
Brenda Henderson;34;Female;Never-married;Adm-clerical;50.05490::5.60442
Barbara Torres;33;Female;Never-married;Exec-managerial;51.18819::3.17924
Nicholas Petersen;21;Male;Never-married;Craft-repair;50.98666::5.05457
Michael Glover;48;Male;Married-civ-spouse;Craft-repair;50.85410::4.34346
Gabriel Pratt;23;Male;Never-married;Handlers-cleaners;50.75852::4.25409
Brian Robbins;71;Male;Separated;Sales;50.84938::4.31236
Joseph Flowers;29;Male;Divorced;Craft-repair;50.95892::3.96893
Donald Davis;42;Male;Separated;Other-service;50.88270::5.53126
April Reed;25;Female;Never-married;Other-service;50.91735::4.47451
Danielle King;44;Female;Divorced;Exec-managerial;50.91710::5.68828
Angela Hall;28;Female;Never-married;Exec-managerial;51.04756::4.47916
James Gutierrez;45;Male;Married-civ-spouse;Sales;50.72835::5.64537
Sarah Park;36;Female;Divorced;Other-service;50.23247::4.74315
Kevin Robbins;39;Male;Never-married;Exec-managerial;50.47094::4.87652
Henry Collins;46;Male;Widowed;Protective-serv;50.72340::4.96953
Robert Sexton;18;Male;Never-married;Handlers-cleaners;51.16506::4.91723
Susan Allen;66;Female;Widowed;Prof-specialty;50.77431::4.53393
Matthew Aguilar;27;Male;Never-married;Other-service;50.34880::5.52718
Miguel Smith;28;Male;Married-civ-spouse;Protective-serv;50.74100::5.03125
Brett Liu;51;Male;Married-civ-spouse;Sales;50.23770::4.22286
Jeremy Young;27;Male;Never-married;Craft-repair;50.92629::5.35693
Robert Elliott;28;Male;Married-civ-spouse;Prof-specialty;50.81565::3.33805
Jamie Wheeler;27;Female;Married-spouse-absent;Sales;50.80125::4.95415
Anthony Hicks;21;Male;Never-married;Craft-repair;50.44896::3.94101
Edward Simpson;34;Male;Never-married;Handlers-cleaners;51.03378::3.76352
Luis Richards;18;Male;Never-married;Other-service;50.93222::4.37030
Michael Schultz;33;Male;Married-civ-spouse;Prof-specialty;50.58818::4.93296
Michael Costa;44;Male;Married-civ-spouse;Exec-managerial;51.12781::4.46990
Kaitlin Lowe;43;Female;Divorced;Adm-clerical;51.21374::4.24940
Paul Robertson;30;Male;Never-married;Craft-repair;49.59612::5.81533
Timothy Jimenez;40;Male;Married-civ-spouse;Machine-op-inspct;50.81904::4.92556
Kevin Brewer;37;Male;Married-civ-spouse;Adm-clerical;51.05270::4.36910
Jesse Patrick;34;Male;Married-civ-spouse;Adm-clerical;50.81597::3.92267
Melinda Day;41;Female;Divorced;Exec-managerial;50.61520::5.20078
Meghan Randall;31;Female;Married-civ-spouse;Prof-specialty;51.32849::4.38716
Bruce Wilson;58;Male;Married-civ-spouse;Prof-specialty;50.70983::5.41801
Deanna Washington;38;Female;Divorced;Machine-op-inspct;50.24726::5.39270
Robert James;24;Male;Married-civ-spouse;Machine-op-inspct;50.95726::3.33631
Donald Young;41;Male;Married-civ-spouse;Craft-repair;51.03513::5.53670
Jeffrey Burton;47;Male;Married-civ-spouse;Tech-support;51.34780::4.54841
John Davis MD;41;Male;Married-civ-spouse;Tech-support;51.11332::3.73746
Gavin Alexander;23;Male;Married-civ-spouse;Transport-moving;50.79598::4.37942
Matthew Nunez;36;Male;Divorced;Craft-repair;51.05416::3.68905
Madison Ruiz;40;Female;Never-married;Exec-managerial;50.56747::5.53547
Nicholas Wright;35;Male;Married-civ-spouse;Prof-specialty;50.88072::4.70110
Bobby Elliott;24;Male;Never-married;Sales;50.90505::4.67159
Tanya Johnson;26;Female;Never-married;Prof-specialty;51.04429::3.71408
Kevin Adams;51;Male;Married-civ-spouse;Exec-managerial;50.98207::4.17760
Stephanie Jackson;42;Female;Never-married;Prof-specialty;50.62862::5.58824
Heather Hughes;37;Female;Divorced;Adm-clerical;51.06020::4.20682
Dana Lane;18;Female;Never-married;Sales;51.33539::4.37388
Tyler Flores;36;Male;Married-civ-spouse;Other-service;50.83919::4.35115
Ryan Lee;35;Male;Divorced;Craft-repair;50.87336::4.71512
Jessica Tran;58;Female;Married-civ-spouse;Sales;50.23774::6.16171
Cynthia Hicks;17;Female;Never-married;Sales;50.86564::3.81661
Bryan Hunt;44;Male;Married-civ-spouse;Transport-moving;50.62252::4.61375
Joseph Hale;37;Male;Married-civ-spouse;Craft-repair;50.65972::5.96746
Kimberly Gutierrez;35;Female;Never-married;Sales;50.85785::4.69477
Jesse Phelps;60;Male;Married-civ-spouse;Craft-repair;50.96030::4.60756
Kyle Edwards MD;54;Male;Married-civ-spouse;Machine-op-inspct;50.90491::4.41747
Joseph Schaefer;37;Male;Never-married;Exec-managerial;51.23657::4.57750
Lisa Williams;50;Female;Divorced;Sales;50.90766::3.92087
Derrick Roberts;38;Male;Married-civ-spouse;Sales;50.91165::4.34988
Joseph Knight;45;Male;Married-civ-spouse;Prof-specialty;50.38271::5.57753
John Sullivan;25;Male;Never-married;Craft-repair;50.53502::5.81541
David Buckley;31;Male;Married-civ-spouse;Handlers-cleaners;51.11995::3.09601
Robert Palmer;90;Male;Never-married;Other-service;50.48266::6.12861
John Johnson;54;Male;Married-civ-spouse;Adm-clerical;51.16738::5.27550
Sarah Christian;53;Female;Never-married;Machine-op-inspct;51.31671::4.95646
Dana Perry;18;Female;Never-married;Sales;51.19617::3.79546
Robert Lee;66;Male;Married-civ-spouse;Farming-fishing;50.96907::5.68646
Shelby Miranda;75;Female;Widowed;Adm-clerical;50.99122::3.16274
Lindsay Maynard;65;Female;Divorced;Adm-clerical;51.11776::5.36479
Bryan Harper;35;Male;Separated;Transport-moving;50.98148::5.51641
Kristin Lee;41;Female;Divorced;Sales;50.95617::3.63687
Daniel Sanchez;25;Male;Never-married;Adm-clerical;51.09922::2.93705
Nicole Gomez;33;Female;Divorced;Craft-repair;50.40043::5.51628
Travis Fisher;28;Male;Never-married;Prof-specialty;51.17872::4.85214
Jeffrey Baker;59;Male;Married-civ-spouse;Other-service;51.34384::4.32666
Jessica Ellis;40;Female;Never-married;Adm-clerical;50.50930::5.01736
William Jensen;41;Male;Married-civ-spouse;Exec-managerial;50.64152::4.19230
Scott Crawford;38;Male;Married-civ-spouse;Exec-managerial;50.90806::4.29590
Mark Warner;23;Male;Never-married;Transport-moving;50.74330::3.60138
Troy Jones;40;Male;Married-civ-spouse;Prof-specialty;50.85203::3.42008
Angela Greene;41;Female;Married-civ-spouse;Other-service;50.36830::5.84801
Austin Grimes;24;Male;Married-civ-spouse;Protective-serv;50.93245::4.36421
Justin Hernandez;38;Male;Divorced;Craft-repair;49.61682::5.80761
Mr. Alexander Wood;58;Male;Married-civ-spouse;Adm-clerical;51.23335::2.93518
Teresa Ellis;32;Female;Never-married;Other-service;51.31942::4.92698
Lawrence Price;40;Male;Married-civ-spouse;Tech-support;50.55159::4.18043
Heather Howard;41;Female;Married-civ-spouse;Prof-specialty;50.98043::5.05345
Latoya Chavez;42;Female;Married-civ-spouse;Adm-clerical;50.84425::3.20567
Barbara Adams;59;Female;Widowed;Other-service;50.65741::5.67622
Nathaniel Bentley;19;Male;Never-married;Adm-clerical;51.06327::4.02507
William Bruce;58;Male;Never-married;Transport-moving;50.57846::4.06302
Travis Roberts;42;Male;Married-civ-spouse;Farming-fishing;51.31155::4.42484
Jo Smith;20;Female;Never-married;Other-service;51.16693::4.66967
Anna Vazquez;32;Female;Separated;Other-service;50.90992::3.93780
Sandra King;45;Female;Widowed;Exec-managerial;50.40671::4.44486
Andrew Williams;50;Male;Divorced;Craft-repair;50.99318::3.74341
Stephanie Arroyo;36;Female;Divorced;Prof-specialty;50.58940::3.87840
Christopher Hutchinson;45;Male;Married-civ-spouse;Sales;51.11281::3.53411
Craig Phillips;17;Male;Never-married;Other-service;50.64890::5.59472
Matthew Sanford;59;Male;Married-civ-spouse;Sales;51.12565::4.19625
Gregg Horne;26;Male;Married-civ-spouse;Craft-repair;51.22852::4.43636
James Richardson;37;Male;Married-civ-spouse;Exec-managerial;51.20289::4.45532
David Glenn;64;Male;Married-civ-spouse;Exec-managerial;50.85954::3.25226
Amanda Stevens;33;Female;Never-married;Prof-specialty;50.91994::3.67999
Kristina Alvarado;33;Female;Married-civ-spouse;Craft-repair;51.02576::3.72116
Michael Johnson;61;Male;Married-civ-spouse;Exec-managerial;51.09404::2.97464
Marc Costa;17;Male;Never-married;Other-service;51.19724::4.45441
Eric Miller;50;Male;Married-civ-spouse;Farming-fishing;51.10509::3.61978
Alexander James;27;Male;Never-married;Prof-specialty;50.80098::4.31765
Virginia Pittman;30;Female;Divorced;Prof-specialty;51.09960::3.29504
Greg Tran DDS;43;Male;Married-civ-spouse;Handlers-cleaners;50.55214::3.57867
Jordan Ward;44;Male;Married-civ-spouse;Craft-repair;51.16956::5.16463
Amber Johnson;35;Female;Never-married;Exec-managerial;50.98672::5.05465
Pamela Moore;25;Female;Never-married;Tech-support;50.33991::4.39327
Kari Weiss;24;Female;Married-civ-spouse;Machine-op-inspct;50.48760::5.09773
Lauren Miller;22;Female;Never-married;Prof-specialty;50.92184::4.05705
Robert Wright;42;Male;Married-civ-spouse;Craft-repair;50.40168::3.89271
Crystal Shaffer;34;Female;Divorced;Sales;50.38465::5.68289
Jennifer Davis;60;Female;Divorced;Prof-specialty;50.86088::4.36848
Eric Green;21;Male;Never-married;Handlers-cleaners;50.18323::5.57579
Hayden Johnson;57;Male;Married-civ-spouse;Sales;50.33824::5.67989
Kevin Ortiz;41;Male;Married-civ-spouse;Prof-specialty;51.01161::4.94427
Matthew Price;50;Male;Divorced;Other-service;50.80595::4.33117
Nicole Taylor;25;Female;Never-married;Exec-managerial;50.40141::4.43823
Marcus Glover;50;Male;Married-civ-spouse;Craft-repair;50.38454::5.96685
Carl Morgan;36;Male;Married-civ-spouse;Prof-specialty;50.65535::5.48166
Theresa Williams;31;Female;Divorced;Prof-specialty;50.95634::4.75891
Kyle Perez;29;Male;Never-married;Protective-serv;51.06218::3.69911
Brendan Wolf;21;Male;Never-married;Sales;50.99183::4.68671
Brittney Beck;27;Female;Never-married;Tech-support;50.86751::3.81203
Erik Gonzalez;65;Male;Married-civ-spouse;Transport-moving;51.10089::4.23269
Christy Golden;37;Female;Divorced;Sales;50.96879::5.52008
Gregory Coleman;24;Male;Never-married;Craft-repair;50.85281::4.69136
William Moreno;38;Male;Divorced;Sales;50.77035::3.35569
Steven Kelly;48;Male;Married-civ-spouse;Adm-clerical;50.86559::3.30552
Daisy Wise;21;Female;Never-married;Other-service;51.19674::4.47575
Kevin Roberts;31;Male;Married-civ-spouse;Transport-moving;50.94756::3.28283
Jason Johnson;55;Male;Married-civ-spouse;Sales;50.83758::4.02323
Sharon Yang;24;Female;Married-civ-spouse;Adm-clerical;51.19593::3.24593
Margaret Reynolds;43;Female;Divorced;Adm-clerical;50.59861::3.34833
Richard Armstrong;26;Male;Never-married;Tech-support;51.00111::3.80670
Lauren Guzman;46;Female;Never-married;Prof-specialty;51.42830::4.51526
Nicholas Stevens;35;Male;Married-civ-spouse;Adm-clerical;50.68656::5.70560
Theodore Banks;41;Male;Married-civ-spouse;Farming-fishing;51.23851::4.57909
David Ford;26;Male;Never-married;Sales;50.64261::5.58657
Christopher Fitzgerald;34;Male;Married-civ-spouse;Exec-managerial;51.17398::4.18551
Nicole Chung;36;Female;Divorced;Prof-specialty;50.84152::3.40547
Stephen Shaw DVM;22;Male;Never-married;Sales;50.71460::5.27607
Robert Torres;24;Male;Never-married;Machine-op-inspct;50.75354::5.08728
James Hunt;77;Male;Married-civ-spouse;Sales;50.95268::5.26868
Linda Davis;22;Female;Married-civ-spouse;Machine-op-inspct;50.96100::4.13558
Sara Taylor;29;Female;Never-married;Tech-support;50.47083::4.86516
Sandra Hunter;62;Female;Widowed;Other-service;51.20823::3.43762
David Rivera;39;Male;Married-civ-spouse;Exec-managerial;50.56094::5.57725
Kenneth Arnold;43;Male;Married-civ-spouse;Craft-repair;51.21390::3.23346
Jordan Carter;35;Male;Divorced;Transport-moving;50.45983::4.10202
Abigail Castillo;29;Female;Never-married;Exec-managerial;50.77097::4.24791
Brad Berg;76;Male;Married-civ-spouse;Craft-repair;50.81714::5.19261
David Russell;63;Male;Married-civ-spouse;Farming-fishing;50.85961::4.36928
Alicia Anderson;43;Female;Married-civ-spouse;Prof-specialty;50.20039::5.52165
Daniel Rodriguez;58;Male;Married-civ-spouse;Handlers-cleaners;50.84961::4.38708
Ralph Hurst;66;Male;Never-married;Transport-moving;50.95100::4.06811
Don Rios;41;Male;Never-married;Craft-repair;51.20775::3.23551
Sean Larson;26;Male;Never-married;Adm-clerical;50.44662::3.84965
Mr. Jeffrey Gonzalez;47;Male;Never-married;Other-service;50.87006::3.61871
Jeffrey Ramirez;55;Male;Married-civ-spouse;Adm-clerical;50.95649::4.03118
Paul Johnson;53;Male;Married-civ-spouse;Transport-moving;50.86261::4.05609
Wesley Anderson;17;Male;Never-married;Other-service;51.21953::2.91443
David Owens;30;Male;Never-married;Craft-repair;50.91382::4.43869
Marcus Mcpherson;49;Male;Never-married;Prof-specialty;50.62152::5.59176
Stephen Flores;19;Male;Never-married;Sales;51.31982::4.58540
Dr. Albert Chen;45;Male;Married-civ-spouse;Other-service;51.20798::4.04248
Robert Lara;26;Male;Never-married;Sales;51.20299::4.24084
Bradley Gilbert;38;Male;Married-civ-spouse;Craft-repair;51.20189::3.45314
Zachary Gonzales;36;Male;Married-civ-spouse;Protective-serv;51.15692::5.60398
Blake Johnson;33;Male;Never-married;Farming-fishing;51.10602::4.92094
Mary Williams;22;Female;Never-married;Protective-serv;51.15873::4.12419
Scott Pierce;43;Male;Never-married;Sales;51.39959::4.80083
Chad Murray;56;Male;Married-spouse-absent;Other-service;51.28929::4.42353
William Davis;31;Male;Never-married;Prof-specialty;50.86742::4.08630
Kyle Duncan;33;Male;Married-civ-spouse;Exec-managerial;49.88133::5.55213
Christian Chambers;26;Male;Married-civ-spouse;Other-service;51.01583::4.57225
Patrick Smith;33;Male;Married-civ-spouse;Exec-managerial;50.34305::4.61544
Aaron Hicks;46;Male;Married-civ-spouse;Transport-moving;51.04516::5.16189
Thomas Gilbert;38;Male;Married-civ-spouse;Adm-clerical;51.31211::3.15079
Terry Bowman;65;Male;Widowed;Other-service;51.45881::4.52269
Daniel Evans;40;Male;Married-civ-spouse;Tech-support;50.94437::4.68021
Jennifer Huynh;42;Female;Married-civ-spouse;Adm-clerical;50.95045::4.31131
Chad Clark;26;Male;Married-civ-spouse;Craft-repair;51.11611::2.62355
Kelli Clark;36;Female;Married-civ-spouse;Other-service;50.85407::4.72019
Jonathan Miller;62;Male;Married-civ-spouse;Prof-specialty;50.88137::3.81866
Mark Cooper;43;Male;Married-civ-spouse;Transport-moving;50.40816::5.05331
Nicholas Lee;43;Male;Divorced;Exec-managerial;51.05278::3.70307
Robert Jackson;22;Male;Married-spouse-absent;Sales;51.03489::5.17857
Travis Peterson;28;Male;Married-civ-spouse;Craft-repair;50.80586::4.31240
Christopher Allen;56;Male;Married-civ-spouse;Sales;51.20571::4.39483
Katelyn Cruz;22;Female;Never-married;Sales;50.89866::4.66399
Laura Burch;57;Female;Divorced;Exec-managerial;50.89388::4.37086
Jacqueline Myers;39;Female;Divorced;Sales;50.02142::5.49934
Mrs. Kiara Nichols;26;Female;Never-married;Adm-clerical;51.11142::2.62379
Peter Skinner;17;Male;Never-married;Other-service;50.85025::3.24623
Randall Miller;40;Male;Married-civ-spouse;Machine-op-inspct;51.05095::3.72500
Eric King;45;Male;Married-civ-spouse;Machine-op-inspct;51.11684::5.26170
Curtis Baker;44;Male;Never-married;Craft-repair;50.73927::4.22679
Paige Tanner;20;Female;Never-married;Adm-clerical;51.20095::4.48105
Jean Rodriguez;33;Female;Married-civ-spouse;Craft-repair;50.45572::4.55418
Gregory Flowers;23;Male;Never-married;Sales;50.66422::5.05183
James Griffin;46;Male;Divorced;Exec-managerial;50.96683::3.86834
Brian Sanchez;38;Male;Married-civ-spouse;Sales;50.86196::3.82814
Patrick Stewart;54;Male;Divorced;Transport-moving;50.86141::5.63433
Phyllis Reyes;46;Female;Divorced;Craft-repair;50.50606::4.37557
Michael Manning;25;Male;Married-civ-spouse;Craft-repair;50.92558::4.42814
Kristina Santos;46;Female;Divorced;Sales;51.10157::2.58947
Alicia Ortiz;36;Female;Married-civ-spouse;Transport-moving;51.07094::4.60650
Emily Rodriguez;23;Female;Never-married;Other-service;50.59702::5.85236
David Rosario;29;Male;Separated;Machine-op-inspct;50.47359::4.18505
Laurie Lee;44;Female;Married-civ-spouse;Adm-clerical;50.89068::3.93558
Brenda Wilson;19;Female;Never-married;Adm-clerical;50.97918::3.53058
Sierra Washington;19;Female;Never-married;Other-service;51.12743::4.19917
Erica Martin;35;Female;Married-civ-spouse;Other-service;51.06271::3.71111
Cameron Bonilla;27;Male;Never-married;Craft-repair;50.46873::4.81433
Brian Sanchez;46;Male;Separated;Craft-repair;50.43156::6.13459
Jennifer Salas;34;Female;Never-married;Other-service;50.45675::4.54950
Daniel Evans;44;Male;Married-civ-spouse;Tech-support;50.84177::4.42858
Kimberly Snyder;45;Female;Divorced;Handlers-cleaners;51.04452::3.70360
Craig Rodriguez;25;Male;Married-civ-spouse;Exec-managerial;51.00939::4.09305
